frame_idx,timestamp,status,object_class,distance,roi_coverage
100,1744996459.188086,WARNING,airplane,6.05,0.000
101,1744996465.5695844,WARNING,person,9.74,0.032
101,1744996465.5695844,WARNING,motorcycle,6.06,0.000
102,1744996472.5059454,WARNING,person,8.79,0.036
102,1744996472.5059454,WARNING,motorcycle,6.12,0.000
102,1744996472.5059454,WARNING,motorcycle,7.56,0.000
102,1744996472.5059454,WARNING,motorcycle,6.55,0.000
103,1744996480.2077756,WARNING,person,9.17,0.038
103,1744996480.2077756,WARNING,motorcycle,8.33,0.000
103,1744996480.2077756,WARNING,motorcycle,6.45,0.000
103,1744996480.2077756,WARNING,motorcycle,6.98,0.000
104,1744996488.0352418,WARNING,person,9.69,0.041
104,1744996488.0352418,WARNING,motorcycle,8.07,0.000
104,1744996488.0352418,WARNING,motorcycle,7.27,0.000
105,1744996495.9321024,WARNING,person,9.42,0.041
105,1744996495.9321024,WARNING,motorcycle,6.87,0.000
105,1744996495.9321024,WARNING,motorcycle,8.56,0.000
105,1744996495.9321024,WARNING,motorcycle,8.42,0.000
105,1744996495.9321024,WARNING,motorcycle,6.73,0.000
106,1744996503.8301644,WARNING,motorcycle,7.34,0.000
106,1744996503.8301644,WARNING,motorcycle,7.32,0.000
107,1744996511.4600885,WARNING,motorcycle,7.51,0.000
107,1744996511.4600885,WARNING,motorcycle,8.24,0.000
107,1744996511.4600885,WARNING,motorcycle,7.88,0.000
107,1744996511.4600885,WARNING,motorcycle,7.58,0.000
108,1744996519.218357,WARNING,person,9.69,0.043
108,1744996519.218357,WARNING,motorcycle,7.26,0.000
108,1744996519.218357,WARNING,motorcycle,7.28,0.000
108,1744996519.218357,WARNING,motorcycle,8.26,0.000
108,1744996519.218357,WARNING,motorcycle,7.81,0.000
109,1744996527.663171,WARNING,motorcycle,7.35,0.000
109,1744996527.663171,WARNING,motorcycle,7.66,0.000
109,1744996527.663171,WARNING,motorcycle,9.02,0.000
109,1744996527.663171,WARNING,motorcycle,7.37,0.000
110,1744996535.9680288,WARNING,motorcycle,7.62,0.000
110,1744996535.9680288,WARNING,motorcycle,7.38,0.000
110,1744996535.9680288,WARNING,motorcycle,8.43,0.000
110,1744996535.9680288,WARNING,motorcycle,8.53,0.000
111,1744996543.8627682,WARNING,motorcycle,8.39,0.000
111,1744996543.8627682,WARNING,motorcycle,7.10,0.000
111,1744996543.8627682,WARNING,motorcycle,7.07,0.000
111,1744996543.8627682,WARNING,motorcycle,7.06,0.000
112,1744996551.728364,WARNING,person,9.58,0.000
112,1744996551.728364,WARNING,motorcycle,7.95,0.000
112,1744996551.728364,WARNING,motorcycle,9.27,0.000
112,1744996551.728364,WARNING,motorcycle,6.92,0.005
112,1744996551.728364,WARNING,motorcycle,7.08,0.003
112,1744996551.728364,WARNING,motorcycle,7.76,0.002
113,1744996559.846903,WARNING,person,9.45,0.000
113,1744996559.846903,WARNING,motorcycle,9.37,0.000
113,1744996559.846903,WARNING,motorcycle,6.31,0.003
113,1744996559.846903,WARNING,motorcycle,9.14,0.007
113,1744996559.846903,WARNING,motorcycle,7.86,0.003
113,1744996559.846903,WARNING,motorcycle,7.81,0.003
113,1744996559.846903,WARNING,motorcycle,7.75,0.000
114,1744996567.9431694,WARNING,person,8.59,0.000
114,1744996567.9431694,WARNING,motorcycle,8.41,0.000
114,1744996567.9431694,WARNING,motorcycle,6.95,0.007
114,1744996567.9431694,WARNING,motorcycle,5.64,0.000
114,1744996567.9431694,WARNING,motorcycle,8.71,0.011
114,1744996567.9431694,WARNING,motorcycle,5.65,0.001
114,1744996567.9431694,WARNING,motorcycle,6.94,0.005
115,1744996575.9633374,WARNING,person,8.13,0.000
115,1744996575.9633374,WARNING,motorcycle,6.63,0.005
115,1744996575.9633374,WARNING,motorcycle,7.87,0.000
115,1744996575.9633374,WARNING,motorcycle,7.29,0.017
115,1744996575.9633374,WARNING,motorcycle,5.27,0.000
115,1744996575.9633374,WARNING,motorcycle,5.31,0.004
115,1744996575.9633374,WARNING,motorcycle,6.62,0.005
116,1744996584.151046,WARNING,person,8.44,0.000
116,1744996584.151046,WARNING,motorcycle,6.89,0.013
116,1744996584.151046,WARNING,motorcycle,5.69,0.003
116,1744996584.151046,WARNING,motorcycle,9.93,0.004
116,1744996584.151046,WARNING,motorcycle,6.86,0.002
116,1744996584.151046,WARNING,motorcycle,7.63,0.012
116,1744996584.151046,WARNING,motorcycle,5.00,0.000
116,1744996584.151046,WARNING,motorcycle,4.97,0.000
116,1744996584.151046,WARNING,motorcycle,9.30,0.002
117,1744996592.2801716,WARNING,person,8.20,0.000
117,1744996592.2801716,WARNING,motorcycle,7.55,0.021
117,1744996592.2801716,WARNING,motorcycle,6.45,0.000
117,1744996592.2801716,WARNING,motorcycle,7.55,0.012
117,1744996592.2801716,WARNING,motorcycle,4.37,0.000
117,1744996592.2801716,WARNING,motorcycle,6.43,0.000
117,1744996592.2801716,WARNING,car,7.29,0.000
117,1744996592.2801716,WARNING,motorcycle,9.64,0.004
117,1744996592.2801716,WARNING,motorcycle,9.53,0.000
118,1744996600.323,WARNING,person,7.50,0.000
118,1744996600.323,WARNING,motorcycle,6.89,0.019
118,1744996600.323,WARNING,motorcycle,9.58,0.015
118,1744996600.323,WARNING,motorcycle,8.50,0.000
118,1744996600.323,WARNING,motorcycle,7.03,0.021
118,1744996600.323,WARNING,motorcycle,4.86,0.000
118,1744996600.323,WARNING,motorcycle,5.84,0.000
119,1744996609.0679665,WARNING,person,7.70,0.000
119,1744996609.0679665,WARNING,motorcycle,8.78,0.000
119,1744996609.0679665,WARNING,motorcycle,5.38,0.017
119,1744996609.0679665,WARNING,motorcycle,9.11,0.007
119,1744996609.0679665,WARNING,motorcycle,8.71,0.014
119,1744996609.0679665,WARNING,motorcycle,4.78,0.000
119,1744996609.0679665,WARNING,motorcycle,6.06,0.023
120,1744996618.217168,WARNING,motorcycle,8.62,0.000
120,1744996618.217168,WARNING,motorcycle,5.76,0.007
120,1744996618.217168,WARNING,person,7.96,0.000
120,1744996618.217168,WARNING,motorcycle,8.26,0.021
120,1744996618.217168,WARNING,motorcycle,4.30,0.000
120,1744996618.217168,WARNING,motorcycle,4.35,0.000
121,1744996627.420308,WARNING,person,7.66,0.000
121,1744996627.420308,WARNING,motorcycle,5.34,0.004
121,1744996627.420308,WARNING,motorcycle,7.64,0.018
121,1744996627.420308,WARNING,motorcycle,8.37,0.000
121,1744996627.420308,WARNING,motorcycle,4.04,0.000
121,1744996627.420308,WARNING,motorcycle,7.67,0.012
121,1744996627.420308,WARNING,motorcycle,4.11,0.000
122,1744996636.3807578,WARNING,motorcycle,7.04,0.025
122,1744996636.3807578,WARNING,motorcycle,5.14,0.005
122,1744996636.3807578,WARNING,person,7.68,0.000
122,1744996636.3807578,WARNING,motorcycle,8.04,0.000
122,1744996636.3807578,WARNING,motorcycle,9.34,0.022
122,1744996636.3807578,WARNING,motorcycle,3.76,0.000
122,1744996636.3807578,WARNING,motorcycle,5.32,0.021
123,1744996645.6206143,WARNING,motorcycle,7.63,0.034
123,1744996645.6206143,WARNING,motorcycle,5.13,0.000
123,1744996645.6206143,WARNING,person,8.03,0.000
123,1744996645.6206143,WARNING,motorcycle,7.63,0.000
123,1744996645.6206143,WARNING,person,8.14,0.000
123,1744996645.6206143,WARNING,motorcycle,5.44,0.016
123,1744996645.6206143,WARNING,motorcycle,9.10,0.022
123,1744996645.6206143,WARNING,motorcycle,7.96,0.000
124,1744996655.0320294,WARNING,person,7.26,0.000
124,1744996655.0320294,WARNING,motorcycle,6.81,0.014
124,1744996655.0320294,WARNING,motorcycle,4.51,0.000
124,1744996655.0320294,WARNING,motorcycle,8.18,0.024
124,1744996655.0320294,WARNING,motorcycle,7.01,0.000
124,1744996655.0320294,WARNING,person,7.59,0.000
124,1744996655.0320294,WARNING,motorcycle,6.63,0.000
124,1744996655.0320294,WARNING,motorcycle,6.91,0.005
124,1744996655.0320294,WARNING,motorcycle,8.19,0.004
125,1744996664.8085604,WARNING,person,7.29,0.000
125,1744996664.8085604,WARNING,motorcycle,6.62,0.009
125,1744996664.8085604,WARNING,motorcycle,8.48,0.036
125,1744996664.8085604,WARNING,motorcycle,4.24,0.000
125,1744996664.8085604,WARNING,motorcycle,6.99,0.000
125,1744996664.8085604,WARNING,person,7.65,0.000
125,1744996664.8085604,WARNING,motorcycle,7.10,0.000
125,1744996664.8085604,WARNING,motorcycle,6.71,0.000
125,1744996664.8085604,WARNING,motorcycle,7.76,0.000
126,1744996674.0348444,WARNING,person,7.58,0.000
126,1744996674.0348444,WARNING,motorcycle,7.46,0.010
126,1744996674.0348444,WARNING,motorcycle,6.21,0.003
126,1744996674.0348444,WARNING,motorcycle,8.73,0.000
126,1744996674.0348444,WARNING,person,7.44,0.000
126,1744996674.0348444,WARNING,motorcycle,9.11,0.020
126,1744996674.0348444,WARNING,motorcycle,4.14,0.000
127,1744996682.6098416,WARNING,person,7.20,0.000
127,1744996682.6098416,WARNING,motorcycle,8.31,0.026
127,1744996682.6098416,WARNING,motorcycle,5.27,0.000
127,1744996682.6098416,WARNING,motorcycle,6.39,0.011
127,1744996682.6098416,WARNING,motorcycle,8.13,0.000
127,1744996682.6098416,WARNING,motorcycle,9.95,0.015
127,1744996682.6098416,WARNING,motorcycle,5.61,0.000
128,1744996691.5933383,WARNING,person,7.02,0.000
128,1744996691.5933383,WARNING,motorcycle,5.85,0.008
128,1744996691.5933383,WARNING,motorcycle,7.72,0.030
128,1744996691.5933383,WARNING,motorcycle,5.30,0.000
128,1744996691.5933383,WARNING,motorcycle,9.48,0.009
128,1744996691.5933383,WARNING,motorcycle,8.26,0.000
128,1744996691.5933383,WARNING,motorcycle,8.29,0.000
129,1744996700.7585135,WARNING,person,7.44,0.000
129,1744996700.7585135,WARNING,motorcycle,4.59,0.000
129,1744996700.7585135,WARNING,motorcycle,7.15,0.010
129,1744996700.7585135,WARNING,motorcycle,9.22,0.023
129,1744996700.7585135,WARNING,motorcycle,4.57,0.000
129,1744996700.7585135,WARNING,motorcycle,7.65,0.000
129,1744996700.7585135,WARNING,motorcycle,6.98,0.004
129,1744996700.7585135,WARNING,motorcycle,9.24,0.015
